ID,Site,Context,Longitude,Latitude,Country,Archaeological_Unit,File_Name,Reference,Notes
51,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.5,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
52,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.6,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
53,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.7,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
54,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.8,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
55,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.9,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
56,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.10,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
57,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.11,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
58,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.12,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
59,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.13,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
60,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.14,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
61,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.1,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
62,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.2,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
63,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.3,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
64,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.8,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
65,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.9,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
66,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.10,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
67,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.11,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
68,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.12,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
69,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.14,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
70,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.15,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
71,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.18,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
72,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.19,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
73,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.20,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
74,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.21,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
75,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.23,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
76,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.27,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
77,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.28,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
78,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.29,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
79,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.30,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
80,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.31,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
81,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.32,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
82,Koromka,Koromka,30.07,53.1,Belarus,Grensk,Kor.33,Kolasau 2018,(Krasnosillya by Zalyzniak (Koromka))
83,Krasnosillya,Krasnosillya (E),26.69,50.64,Ukraine,Krasnosillya,Kra.E.1,Zaliznyak 1999,
84,Krasnosillya,Krasnosillya (E),26.69,50.64,Ukraine,Krasnosillya,Kra.E.2,Zaliznyak 1999,
85,Krasnosillya,Krasnosillya (E),26.69,50.64,Ukraine,Krasnosillya,Kra.E.3,Zaliznyak 1999,
86,Krasnosillya,Krasnosillya (E),26.69,50.64,Ukraine,Krasnosillya,Kra.E.5,Zaliznyak 1999,
87,Krasnasieĺski,Krasnasieĺski,24.44,53.27,Belarus,Grensk,Kra.6.1,Kolasau 2018,(Krasnosillya by Zalyzniak (Krasnosilsk (6)))
88,Krzemienne,Krzemienne (3),23.4,53.2,Poland,Wolkushian,Krze3.1,Szymczak 1995,
89,Lieporiai,Lieporiai,23.25,55.89,Lithuania,Bromme (Eastern Europe),Lie.1,Šatavičius 2001,
